id,type,name,region,phone,certified
TECH-0085,technician,Mariama TCHUENKAM,Est,+237603346262,False
TECH-0086,technician,Ibrahim NKOLO,Littoral,+237669176667,False
TECH-0087,technician,Isabelle TAGNE,Adamaoua,631652267,True
TECH-0088,technician,Aïssatou NKOLO,Ouest,+237657602405,True
TECH-0089,technician,Rodrigue FEUDJIO,Ouest,237-275-488-324,True
TECH-0090,technician,Paul MEBADA,Littoral,237-210-888-245,True
TECH-0091,technician,Emmanuel KUETE,Littoral,256948791,False
TECH-0092,technician,Lionel ESSOMBA,Ouest,237-673-402-712,False
TECH-0093,technician,Romuald FOUDA,Nord-Ouest,297943416,False
TECH-0094,technician,Paul FOUDA,Ouest,237-204-440-468,True
TECH-0095,technician,Franck TAGNE,Littoral,+237617574435,True
TECH-0096,technician,Mahamat TCHUENKAM,Littoral,+237246141848,True
TECH-0097,technician,Jean-Baptiste ETOA,Adamaoua,+237681701246,True
TECH-0098,technician,Ibrahim OUSMANOU,Centre,237-227-082-793,True
TECH-0099,technician,Pierre TCHUENKAM,Adamaoua,671712949,True
TECH-0100,technician,Kevin MAÏGARI,Adamaoua,+237652288063,True
TECH-0101,technician,Serge MVONDO,Adamaoua,601877949,True
TECH-0102,technician,Franck ATANGANA,Nord-Ouest,275501369,False
TECH-0103,technician,Adamou FOUDA,Littoral,237-278-820-925,True
TECH-0104,technician,Franck GUIDIGUIS,Littoral,+237651346037,False
TECH-0105,technician,Fatoumata BEKOLO,Extrême-Nord,237-645-206-894,True
TECH-0106,technician,Marcel EKANI,Nord-Ouest,237-624-414-239,True
TECH-0107,technician,Adamou NKOLO,Ouest,299541047,True
TECH-0108,technician,Isabelle TCHINDA,Adamaoua,237-228-531-142,True
TECH-0109,technician,Fatoumata BELLO,Nord-Ouest,648123593,True
TECH-0110,technician,Gérard FOMEKONG,Littoral,237-200-096-160,True
TECH-0111,technician,Paul MEBADA,Ouest,237-213-406-577,True
TECH-0112,technician,Serge GUIDIGUIS,Littoral,237-262-136-898,False
TECH-0113,technician,Patrick ABENA,Est,638975925,True
TECH-0114,technician,Brigitte KUATE,Littoral,237-239-433-848,True
TECH-0115,technician,Adamou NGONO,Littoral,658870464,True
TECH-0116,technician,Laurence BEKOLO,Centre,237-221-725-288,True
TECH-0117,technician,Aminatou HAMADOU,Littoral,266227389,False
TECH-0118,technician,Gérard BELLO,Nord-Ouest,684959230,True
TECH-0119,technician,Gérard TAGNE,Littoral,249222778,True
TECH-0120,technician,Laurence ATANGANA,Centre,237-291-076-502,False
TECH-0121,technician,Adamou NKOLO,Nord-Ouest,234689544,True
TECH-0122,technician,Cédric MAÏGARI,Nord-Ouest,237-647-487-496,True
TECH-0123,technician,Armand BELLO,Centre,284145300,False
TECH-0124,technician,Romuald NGONO,Nord-Ouest,224907486,False
TECH-0125,technician,Lionel NKOLO,Ouest,237-299-956-851,True
TECH-0126,technician,Isabelle KUETE,Littoral,+237689173752,False
TECH-0127,technician,Colette NGANOU,Littoral,237-272-911-341,True
TECH-0128,technician,Mahamat MBARGA,Littoral,279040146,True
TECH-0129,technician,Paul KUATE,Littoral,211468112,True
TECH-0130,technician,Aminatou TCHUENKAM,Littoral,237-299-114-958,False
TECH-0131,technician,Hamidou DAIROU,Ouest,+237248237997,False
TECH-0132,technician,Moussa ESSOMBA,Ouest,614954509,True
TECH-0133,technician,Laurence ATANGANA,Littoral,212221789,False
TECH-0134,technician,Didier MANGA,Littoral,613089957,True
TECH-0135,technician,Fabrice KUATE,Littoral,+237255945859,True
TECH-0136,technician,Thierry NGUIMO,Littoral,237-649-976-829,True
TECH-0137,technician,Hervé KUATE,Centre,+237258593838,False
TECH-0138,technician,Ibrahim TCHUENKAM,Ouest,237-253-672-518,True
TECH-0139,technician,Moussa KAMGA,Extrême-Nord,237-685-447-030,False
TECH-0140,technician,Nadège KUETE,Ouest,237-253-309-534,False
TECH-0141,technician,Colette MAÏGARI,Littoral,237-251-152-864,True
TECH-0142,technician,Franck ELLA,Est,200958223,False
TECH-0143,technician,Mahamat FOTSO,Centre,260730928,False
TECH-0144,technician,Pierre HAMADOU,Centre,641634256,True
TECH-0145,technician,Romuald FOTSO,Adamaoua,237-628-343-893,False
TECH-0146,technician,Hervé FOTSO,Littoral,+237247283431,False
TECH-0147,technician,Oumarou DJOMO,Extrême-Nord,237-210-609-444,True
TECH-0148,technician,Ibrahim ESSOMBA,Littoral,+237287911868,False
TECH-0149,technician,Christelle MVONDO,Centre,+237628479640,True
TECH-0150,technician,Vanessa BELLO,Centre,+237615384551,False
TECH-0151,technician,Fabrice NGONO,Centre,+237271351056,True
TECH-0152,technician,Nathalie NKOLO,Nord-Ouest,693657715,True
TECH-0153,technician,Claude ESSOMBA,Adamaoua,237-616-528-998,True
TECH-0154,technician,Emmanuel NKOLO,Ouest,237-612-116-605,True
TECH-0155,technician,Rodrigue HAMADOU,Centre,617020600,True
TECH-0156,technician,Josiane ONANA,Ouest,236127906,True
TECH-0157,technician,Zouera FOUDA,Littoral,234382087,True
TECH-0158,technician,Jacques DAIROU,Centre,216283611,True
TECH-0159,technician,Danielle NGONO,Centre,+237247606944,False
TECH-0160,technician,Nathalie NKOUAM,Nord-Ouest,237-297-031-353,True
TECH-0161,technician,Aïssatou KUETE,Littoral,225282841,True
TECH-0162,technician,Fatoumata BEKOLO,Littoral,212753185,True
TECH-0163,technician,Jean-Baptiste DAIROU,Nord-Ouest,+237611056530,True
TECH-0164,technician,André OUSMANOU,Centre,671138896,True
TECH-0165,technician,Cynthia FEUDJIO,Est,237-622-312-081,True
TECH-0166,technician,Danielle BIYONG,Centre,279150410,True
TECH-0167,technician,Fabrice NKOUAM,Littoral,+237261939016,True
TECH-0168,technician,Thierry KUETE,Littoral,243201392,True
TECH-0169,technician,Pierre EKANI,Littoral,+237298465675,False
TECH-0170,technician,Pierre MBARGA,Adamaoua,290182117,True
TECH-0171,technician,Emmanuel EKANI,Centre,643196220,False
TECH-0172,technician,Gérard ELLA,Littoral,+237652808777,False
TECH-0173,technician,Ibrahim NKOLO,Ouest,+237249915578,True
TECH-0174,technician,Isabelle ATANGANA,Littoral,237-218-176-434,True
TECH-0175,technician,Alain KUATE,Littoral,277749504,True
TECH-0176,technician,Moussa MANGA,Centre,+237244711494,True
TECH-0177,technician,Carole TAGNE,Centre,+237262185383,True
TECH-0178,technician,Moussa MVONDO,Nord-Ouest,683113512,True
TECH-0179,technician,Vanessa ELLA,Littoral,+237286932847,False
TECH-0180,technician,Josiane NGONO,Centre,237-254-267-625,True
TECH-0181,technician,Zouera HAMADOU,Littoral,+237277982232,True
TECH-0182,technician,Lionel BEKOLO,Nord-Ouest,237-606-105-281,False
TECH-0183,technician,Adamou DAIROU,Ouest,639213055,False
TECH-0184,technician,Lionel FOTSO,Ouest,237-607-171-815,True
TECH-0185,technician,Claude KUATE,Ouest,+237675807855,False
TECH-0186,technician,Colette TCHINDA,Ouest,234259801,True
TECH-0187,technician,Armand BELLO,Littoral,+237251213306,True
TECH-0188,technician,Adamou NKOLO,Est,694460696,True
TECH-0189,technician,Cynthia TAGNE,Est,+237259674564,False
TECH-0190,technician,Nadège ATANGANA,Littoral,+237254490985,False
TECH-0191,technician,Sandrine FOUDA,Est,617299870,True
TECH-0192,technician,Lionel DJOMO,Centre,200202633,True
TECH-0193,technician,Isabelle TCHINDA,Ouest,205266111,True
TECH-0194,technician,Estelle NGUIMO,Centre,+237283752644,False
TECH-0195,technician,Adamou GUIDIGUIS,Adamaoua,652339166,True
TECH-0196,technician,Christelle FOMEKONG,Centre,633026557,True
TECH-0197,technician,Adamou ATANGANA,Nord-Ouest,+237639449352,True
TECH-0198,technician,Rodrigue ABENA,Littoral,613400613,False
TECH-0199,technician,Franck BIYONG,Adamaoua,+237207146059,False
TECH-0200,technician,Estelle MEBADA,Littoral,+237638079599,False
TECH-0201,technician,Claude BELLO,Ouest,237-698-526-030,True
TECH-0202,technician,Marie-Claire ETOA,Littoral,692959187,False
TECH-0203,technician,Mariama GUIDIGUIS,Adamaoua,237-630-314-138,True
TECH-0204,technician,Patrick FOMEKONG,Centre,237-674-919-665,True
TECH-0205,technician,Hamidou DAIROU,Littoral,+237233053686,True
TECH-0206,technician,Aïssatou HAMADOU,Littoral,+237232200812,True
TECH-0207,technician,Patrick ETOA,Littoral,+237293438123,True
TECH-0208,technician,Oumarou FOMEKONG,Littoral,237-637-382-695,True
TECH-0209,technician,Jean-Baptiste BIYONG,Littoral,238421859,True
TECH-0210,technician,Sandrine KUETE,Centre,237-275-291-955,True
